Country,Total investment,"Inflation, average consumer prices","Inflation, end of period consumer prices",Six-month London interbank offered rate (LIBOR),Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Unemployment rate,Employment,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government structural balance,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,"Gross domestic product, constant prices"
Bangladesh,31.570,267.573,293.271,,4.170,1.901,13.946,8.588,,,166.586,"2,477.735","3,840.976","-1,363.241",,-841.093,,"9,106.882",-5.102,"11,057.936"
Barbados,15.517,191.683,199.600,,6.204,3.920,7.810,0.942,10.357,,0.287,3.156,2.772,0.385,0.385,0.634,12.263,12.380,-0.162,9.242
Belarus,28.979,823.751,837.207,,4.923,4.326,-0.011,-0.371,0.295,,9.475,51.757,50.932,0.826,0.443,3.167,,55.239,-1.166,80.864
Belgium,25.252,107.766,108.380,,-1.119,-1.119,-0.671,-0.671,5.358,4.977,11.456,238.268,247.297,-9.029,-10.039,-0.969,406.005,467.160,-6.508,443.465
Belize,14.361,136.251,135.555,,6.476,5.392,5.246,2.226,9.000,,0.408,1.165,1.311,-0.146,,-0.018,,3.861,-0.177,2.758
Benin,25.630,101.089,101.457,,-7.226,-12.538,-4.384,-11.023,,,11.814,"1,185.703","1,231.202",-45.499,,89.126,,"3,476.585",-0.624,"8,383.268"
Bhutan,46.683,239.228,239.053,,-7.885,-7.775,-16.790,-11.424,,,0.745,42.033,44.054,-2.020,,-0.411,,184.175,-0.562,69.567
Bolivia,19.875,103.447,103.884,,-0.117,-0.117,2.926,2.926,4.000,,11.550,81.512,101.919,-20.407,,-16.524,135.691,166.726,-1.362,49.257
Bosnia and Herzegovina,20.466,101.240,105.820,,1.266,0.738,-1.015,-2.968,15.700,,3.301,14.787,14.261,0.525,0.456,0.794,7.294,11.380,-0.707,32.404
Botswana,33.153,340.440,332.625,,6.661,8.230,-16.620,-18.942,,,2.377,51.963,64.076,-12.113,-12.920,-21.357,7.487,29.084,-1.404,99.396
Brazil,15.113,"34,353,857,264,335.900","35,056,455,684,887.900",,3.508,4.062,-1.592,-1.932,11.925,,210.147,"2,310.904","2,747.331",-436.427,-394.998,-69.145,"4,041.769","6,492.836",-50.927,"1,197.657"
Brunei Darussalam,38.678,98.981,99.389,,13.766,16.371,14.881,15.301,6.822,,0.460,4.187,5.494,-1.307,,-1.307,,0.473,0.895,19.099
Bulgaria,19.490,104.994,106.410,,2.418,3.513,1.938,2.573,4.200,,6.951,42.014,43.163,-1.149,0.952,-0.980,9.658,22.044,2.745,102.287
Burkina Faso,25.934,106.938,106.488,,-0.343,0.514,-2.922,-2.327,,,20.326,"1,881.970","2,201.944",-319.974,,-202.905,,"3,936.780",-0.751,"8,883.249"
Burundi,19.286,128.879,133.083,,21.339,19.528,5.098,-3.313,,,11.529,"1,250.655","1,724.791",-474.136,,-445.386,,"3,293.713",-0.556,"1,799.550"
Cabo Verde,43.014,101.107,102.293,,-4.448,-4.681,10.030,-1.202,8.500,,0.550,57.392,60.974,-3.582,,1.281,225.930,243.964,0.006,168.265
Cambodia,23.900,177.428,179.950,,17.773,19.530,13.833,15.000,,,16.494,"28,476.801","24,988.263","3,488.538",,"3,855.097",,"31,059.136",-4.232,"56,606.713"
Cameroon,30.132,255.118,258.365,,22.781,24.798,-2.231,-1.427,,,25.506,"3,584.484","4,338.446",-753.963,,-522.360,"9,199.236","9,715.422",-1.693,"16,890.920"
Canada,22.704,135.983,136.933,,0.544,0.660,1.290,0.907,5.667,19.050,37.527,940.344,948.324,-7.980,-14.219,-4.262,595.802,"2,041.671",-35.428,"2,092.200"
Central African Republic,14.668,209.214,207.306,,9.353,11.282,-1.781,-6.685,,,4.745,244.754,225.746,19.008,,23.619,,629.360,-0.112,762.880
Chad,23.340,105.283,105.400,,3.995,5.643,9.571,9.625,,,15.947,912.847,923.869,-11.022,,52.696,,"2,837.132",-0.533,"5,426.035"
Chile,22.729,102.253,103.864,,-2.315,-2.661,-2.293,-2.312,7.223,,19.107,"46,054.762","51,309.835","-5,255.073","-3,346.394","-4,567.578","15,628.972","55,393.169",-10.853,"155,248.901"
China,43.081,108.843,111.386,,-0.936,0.184,2.599,0.239,3.620,,"1,400.050","27,519.459","33,799.543","-6,280.084","-5,942.089","-5,435.831",,"52,362.118",141.335,"89,583.407"
Colombia,22.286,102.558,104.460,,8.101,2.077,2.571,0.299,10.517,,50.374,"311,629.082","338,245.551","-26,616.469","-20,722.340",-425.277,"464,903.681","555,126.792",-13.740,"881,429.000"
Comoros,16.870,175.726,182.520,,1.006,0.987,0.497,4.717,,,0.874,84.409,95.938,-11.529,,-10.768,,132.008,-0.045,420.279
Democratic Republic of the Congo,12.588,"5,176.789","2,328.281",,-14.736,-14.129,-9.633,-9.976,,,97.879,"8,935.147","10,622.252","-1,687.104",,"-1,380.054",,"12,123.749",-1.882,"12,659.440"
Republic of Congo,22.215,150.101,153.216,,-10.777,-15.089,-3.724,-3.724,,,4.568,"2,002.421","1,574.585",427.836,,602.333,,"6,148.236",0.442,"4,206.602"
Costa Rica,17.664,105.548,106.110,,-0.171,-0.171,2.688,2.949,12.417,,5.075,"5,164.236","7,706.813","-2,542.577","-2,510.574","-1,007.152",,"21,189.251",-1.475,"29,093.407"
Côte d'Ivoire,23.011,151.493,153.473,,-2.104,-2.104,10.346,10.346,,,26.275,"5,158.495","5,943.800",-785.305,,-264.305,,"13,004.223",-1.566,"35,453.639"
Croatia,22.802,102.275,102.900,,4.784,4.995,4.585,4.283,7.758,,4.068,190.117,188.543,1.573,2.558,9.616,,293.020,1.678,383.267
Cyprus,18.564,100.782,101.030,,1.527,-6.520,1.963,-16.080,7.075,0.416,0.876,9.048,8.667,0.381,0.094,0.906,10.841,20.958,-1.650,21.346
Czech Republic,26.919,108.350,109.400,,1.372,0.564,1.303,1.272,2.001,5.306,10.650,"2,381.229","2,365.855",15.374,-31.786,44.387,"1,050.917","1,738.728",-0.930,"5,266.744"
Denmark,22.678,102.533,102.800,,0.544,1.063,1.846,6.370,5.042,2.882,5.806,"1,238.247","1,150.133",88.114,1.771,81.100,241.290,680.307,27.103,"2,131.500"
Djibouti,27.860,108.455,109.657,,10.067,11.170,9.230,9.819,,,1.078,128.931,133.968,-5.037,,2.074,227.655,228.805,0.435,548.388
Dominica,23.606,105.899,106.181,,-1.468,-15.714,40.508,13.005,,,0.071,0.564,0.699,-0.135,,-0.098,,1.311,-0.160,1.205
Dominican Republic,26.005,131.907,134.380,,5.658,3.964,-0.757,-0.212,6.167,,10.358,656.779,756.938,-100.159,-182.375,25.092,"1,987.730","2,452.560",-1.205,"2,626.609"
Ecuador,24.955,105.486,105.215,,0.441,0.190,5.896,6.308,3.840,,17.268,35.914,39.319,-3.405,-3.839,-0.491,,55.678,-0.112,71.909
Egypt,18.104,99.992,101.922,,3.117,2.329,9.779,7.001,8.612,,99.333,"1,070.829","1,465.127",-394.298,-381.223,66.026,"3,957.577","4,459.921",-10.894,"3,857.500"
El Salvador,19.105,112.443,112.290,,0.923,4.189,2.679,1.716,6.733,,6.454,5.994,6.819,-0.825,-0.873,0.166,,18.754,-0.558,25.439
Equatorial Guinea,11.630,138.436,141.536,,-21.590,-22.154,-6.599,-7.858,,,1.360,"1,239.983","1,118.564",121.419,,178.812,"2,065.746","2,843.598",-0.695,"5,077.520"
Eritrea,4.033,511.314,527.589,,3.597,5.263,-14.113,-14.509,,,3.497,9.482,9.962,-0.480,,0.046,,56.571,0.240,34.145
Estonia,27.692,110.496,110.590,,3.730,2.594,6.231,6.210,4.448,0.671,1.325,10.849,10.960,-0.111,-0.290,-0.114,-0.580,2.360,0.832,24.789
Eswatini,11.316,331.508,337.600,,-7.755,-7.755,5.025,5.025,,,1.115,17.634,22.481,-4.847,,-3.644,21.551,25.322,0.194,42.311
Ethiopia,39.186,145.918,153.972,,-6.125,-3.202,0.531,-5.738,,,96.586,344.937,413.105,-68.168,,-54.642,"1,450.927","1,553.108",-4.934,"1,874.689"
