Country,Total investment,"Inflation, average consumer prices","Inflation, end of period consumer prices",Six-month London interbank offered rate (LIBOR),Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Unemployment rate,Employment,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government structural balance,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,"Gross domestic product, constant prices"
Kuwait,22.085,183.962,190.491,,-0.489,-0.489,-1.999,-1.999,,,4.750,23.758,21.558,2.199,,-3.188,,4.811,12.788,39.431
Kyrgyz Republic,27.675,155.680,159.398,,-3.203,-4.935,16.853,6.272,6.605,,6.389,200.880,201.701,-0.821,-4.970,4.638,,319.475,-0.476,186.391
Lao P.D.R.,,107.688,110.709,,-3.883,-5.502,13.966,13.561,,,7.163,"25,131.675","33,335.802","-8,204.127",,"-6,038.064",,"102,463.344",-1.227,"130,089.701"
Latvia,22.040,108.530,108.480,,2.306,2.306,1.929,1.929,6.311,0.910,1.920,11.414,11.531,-0.117,-0.193,0.146,8.626,11.202,-0.182,27.497
Lebanon,,124.164,134.628,,-3.673,-2.294,-3.217,23.901,,,6.856,"16,674.020","24,986.020","-8,312.000","-12,727.019",-244.209,"133,976.000","138,150.000",-14.416,"59,734.562"
Lesotho,34.005,115.088,116.749,,7.200,8.100,2.296,2.352,,,2.048,16.637,18.646,-2.009,,-1.538,-0.638,16.679,-0.203,23.984
Liberia,,732.129,776.619,,-9.434,-11.431,-1.561,-0.383,,,4.578,0.892,1.037,-0.144,,-0.111,1.682,1.692,-0.684,3.182
Libya,40.424,315.984,339.225,,6.033,6.522,-12.937,-12.987,,,6.578,57.366,56.156,1.210,,1.210,,,-0.119,26.587
Lithuania,16.684,109.466,110.620,,6.034,,9.559,,6.254,1.378,2.783,16.647,16.518,0.129,0.121,0.518,15.249,18.242,2.313,42.981
Luxembourg,17.427,105.927,106.830,,0.912,1.773,0.836,-0.939,5.401,0.465,0.614,28.441,27.079,1.363,1.177,1.262,-5.044,14.009,3.186,51.983
Macao SAR,14.187,149.823,151.535,,,,,,1.725,0.387,0.680,148.746,82.130,66.615,,,,0.000,18.744,423.718
Madagascar,19.847,124.558,126.700,,1.836,3.406,14.754,6.494,,,26.889,"7,114.689","7,839.790",-725.101,,-369.101,,"19,636.068",-0.323,"22,245.061"
Malawi,12.460,119.457,122.560,,3.571,3.571,19.792,19.792,,,20.289,"1,242.067","1,583.138",-341.071,,-90.223,,"3,400.222",-1.314,"1,468.768"
Malaysia,21.043,121.483,122.300,,-2.289,-3.494,-0.265,-1.715,3.275,,32.581,304.818,360.630,-55.812,-49.454,-25.601,,864.759,12.275,"1,421.454"
Maldives,20.000,193.859,238.952,,1.204,0.810,-0.952,3.711,,,0.372,24.124,29.801,-5.677,,-4.593,,69.273,-1.498,75.044
Mali,19.068,142.563,139.225,,7.760,9.254,-6.374,-5.530,,,19.095,"2,173.300","2,343.800",-170.500,,-66.400,"3,482.786","4,107.160",-0.727,"5,429.938"
Malta,22.343,105.538,103.440,,7.865,7.865,6.129,6.129,3.633,0.253,0.494,5.045,4.974,0.071,0.030,0.252,4.161,5.700,1.440,12.380
Marshall Islands,,149.451,151.730,,,,22.333,,,,0.055,0.157,0.157,0.001,,0.001,,0.054,0.019,0.212
Mauritania,44.654,175.026,175.438,,1.003,1.003,12.134,12.134,,,4.058,59.313,51.634,7.679,,10.319,159.310,162.068,-0.805,238.255
Mauritius,19.835,103.700,103.300,,1.384,1.220,-6.126,-4.576,6.700,,1.267,101.700,149.783,-48.083,-47.286,-34.530,,387.191,-0.762,369.061
Mexico,21.353,103.899,105.934,,-0.936,-0.802,1.438,1.170,3.493,,127.576,"5,837.068","6,406.325",-569.257,-656.231,305.764,"10,889.883","13,027.458",-4.351,"18,465.007"
Micronesia,,131.978,132.029,,,,,,,,0.102,0.332,0.264,0.068,,0.069,,0.070,0.066,0.254
Moldova,26.305,"55,676.468","25,780.035",,4.959,4.959,10.807,10.807,5.120,,2.682,62.949,65.972,-3.023,,-1.382,,59.623,-1.058,13.316
Mongolia,35.917,120.408,122.000,,9.305,8.607,12.790,12.590,10.000,,3.297,"12,040.239","11,698.415",341.824,,"1,239.519",,,-2.162,"19,039.610"
Montenegro,31.131,307.860,279.787,,2.112,0.947,7.322,7.323,,,0.623,2.090,2.208,-0.118,,-0.008,,3.894,-0.833,3.085
Morocco,32.164,101.817,102.446,,2.899,4.661,4.581,3.208,9.200,,35.587,295.219,342.281,-47.062,-46.649,-17.685,746.810,750.120,-4.920,"1,001.090"
Mozambique,42.253,122.948,125.270,,-6.607,12.518,-2.128,-5.958,,,31.157,285.759,287.190,-1.431,,29.746,,998.675,-3.092,675.559
Myanmar,32.361,152.411,159.854,,-10.287,-14.512,-3.607,-6.784,,,52.832,"17,209.162","21,321.136","-4,111.974",,"-2,562.466",,"40,790.573",-1.757,"88,938.182"
Namibia,12.989,137.586,138.535,,-8.475,-9.171,-8.772,-7.698,,,2.459,58.326,68.863,-10.536,,-3.376,89.964,97.850,-0.284,51.473
Nauru,,128.471,130.595,,,,,,,,0.013,0.240,0.206,0.034,,,,0.103,0.012,0.087
Nepal,62.268,125.145,128.550,,,,,,,,28.455,901.171,"1,059.195",-158.025,,-138.609,,"1,041.680",-2.369,950.033
Netherlands,21.283,105.783,106.940,,3.250,4.178,2.706,2.147,3.390,8.953,17.231,355.958,342.486,13.471,8.051,18.585,337.528,392.029,90.238,755.248
New Zealand,23.782,148.368,147.083,,2.162,0.648,2.259,2.760,4.075,2.637,4.925,115.258,124.428,-9.170,-7.539,-6.911,28.081,98.180,-6.963,256.880
Nicaragua,17.135,226.302,232.586,,-7.394,-6.724,-0.858,0.252,6.127,,6.528,112.449,114.318,-1.869,,3.338,,174.754,0.756,171.846
Niger,30.244,101.500,101.200,,7.876,8.134,2.391,-1.920,,,23.311,"1,362.495","1,631.773",-269.278,,-194.544,"2,864.012","3,156.602",-1.625,"7,216.840"
Nigeria,26.207,291.386,307.470,,44.916,60.125,17.198,17.473,,,200.964,"11,451.839","18,379.219","-6,927.380",,"-4,485.040","37,024.111","42,441.977",-17.016,"72,094.095"
North Macedonia,,113.396,113.320,,8.958,13.965,8.315,12.812,17.250,,2.079,203.911,217.542,-13.631,,-5.519,275.937,280.179,-0.351,468.030
Norway,28.980,120.270,111.300,,5.203,5.272,1.452,0.057,3.728,2.725,5.357,"2,079.280","1,803.205",276.075,-247.257,200.900,"-3,743.720","1,464.111",16.523,"3,376.421"
Oman,23.251,159.279,153.906,,-10.268,-11.603,-1.656,-2.041,,,4.194,10.895,12.968,-2.073,,-1.633,12.180,18.507,-3.476,28.850
Pakistan,15.611,117.177,121.630,,-10.961,-8.547,-5.394,-6.229,4.080,,204.729,"4,933.723","8,345.238","-3,411.515",,"-1,320.389","29,300.235","32,487.393",-13.434,"12,580.174"
Palau,30.346,102.958,102.935,,6.286,11.739,-12.256,-17.991,,,0.017,0.122,0.121,0.001,,,,,-0.075,0.283
Panama,40.415,104.855,104.599,,-8.065,-9.868,-1.362,-4.223,7.070,,4.219,12.285,14.385,-2.099,-2.639,-0.994,18.877,27.413,-3.500,43.061
Papua New Guinea,,723.278,730.213,,36.441,51.717,10.639,11.295,,,8.601,13.681,17.852,-4.172,,-2.043,,33.667,5.496,66.511
Paraguay,24.273,104.667,106.100,,-4.511,-5.010,-4.139,-4.480,6.086,,7.153,"45,379.547","54,383.879","-9,004.333","-10,316.521","-6,030.052","53,647.781","60,989.237",-0.375,"209,565.051"
Peru,21.438,131.768,132.699,,-0.233,-0.233,0.591,0.591,6.600,,33.162,153.458,163.973,-10.515,-5.164,-1.401,86.267,208.833,-3.140,546.722
Philippines,26.190,120.167,121.900,,-1.855,-3.351,8.138,6.367,5.075,,107.290,"3,884.468","4,232.018",-347.550,-343.204,-35.100,,"7,215.072",-0.464,"19,368.512"
Poland,19.576,176.529,176.749,,2.668,2.668,4.672,4.672,3.279,,37.973,938.668,955.497,-16.829,-38.098,14.545,897.331,"1,045.129",2.433,"1,990.685"
Portugal,18.910,103.705,103.400,,5.358,4.647,3.847,3.672,6.463,4.980,10.276,91.008,90.604,0.404,1.019,6.489,236.466,249.980,-0.202,202.410
Puerto Rico,8.857,119.525,119.300,,,,,,8.300,0.987,3.168,22.482,25.153,-2.671,,-0.422,,58.040,,9.625
Qatar,,108.100,,,2.080,-4.460,0.314,-0.554,,,2.795,239.956,208.418,31.538,,41.295,,359.592,4.229,672.510
Romania,22.930,123.816,125.367,,8.020,4.717,4.577,0.832,3.912,,19.405,305.947,354.247,-48.300,-52.286,-36.648,302.339,389.595,-11.401,869.477
Russia,23.106,119.284,116.077,,2.941,3.025,-3.193,-3.000,4.600,,146.749,"39,110.301","36,995.283","2,115.018","2,183.827","2,411.081",,"15,312.842",65.337,"90,589.900"
